Survey Date,Survey Year,Borough,Carriageway,Covered,Secure,Locker,Sheffield Stand,"""M"" stand","""P"" stand",Cyclehoop,Post,Butterfly,Wheel Rack,Bike Hangar,Two Tier,Other,Capacity
27/09/2017,2017,WalthamForest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
28/09/2017,2017,WalthamForest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
28/09/2017,2017,WalthamForest,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
12/10/2017,2017,Redbridge,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
16/10/2017,2017,Redbridge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
17/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
17/10/2017,2017,Newham,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
18/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
20/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
22/10/2017,2017,Barking&Dagenham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
27/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
29/10/2017,2017,Barking&Dagenham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
30/10/2017,2017,Newham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
04/11/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
08/11/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
12/11/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
23/10/2017,2017,Barking&Dagenham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
23/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
23/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
27/10/2017,2017,Newham,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10
